baseId	name	type	cost	rating	offers	picks	pickRate	deckGames	deckWinRate
65	Steelplume Defender	creature	2	3.126	1403	1338	0.954	723	0.506
66	Staring Wickerbeast	creature	5	2.374	1326	975	0.735	637	0.504
67	Flailing Hammerhead	creature	6	2.764	1312	1112	0.848	640	0.505
68	Giant Squid	creature	6	3.201	1439	1405	0.976	746	0.5
69	Charging Boarhound	creature	3	2.93	1256	1144	0.911	664	0.491
70	Murglord	creature	4	1.004	1346	566	0.421	406	0.498
71	Flying Murgling	creature	4	-1.015	1377	156	0.113	143	0.462
72	Shuffling Nightmare	creature	4	-0.269	1348	281	0.208	246	0.508
73	Bog Bounder	creature	4	0.272	1446	413	0.286	324	0.478
74	Crusher	creature	5	-0.742	1291	181	0.14	159	0.497
75	Titan Prowler	creature	5	1.291	1335	638	0.478	477	0.503
76	Crested Chomper	creature	6	-1.523	1208	83	0.069	81	0.444
77	Lumbering Giant	creature	7	-0.0	1447	340	0.235	278	0.457
78	Shambler	creature	8	-2.852	1430	20	0.014	20	0.6
79	Scarlet Colossus	creature	8	-0.075	1543	346	0.224	283	0.509
80	Corpse Guzzler	creature	8	2.721	1219	1009	0.828	593	0.476
81	Flying Corpse Guzzler	creature	9	1.113	1319	578	0.438	412	0.495
82	Slithering Nightmare	creature	7	2.192	1288	899	0.698	580	0.509
83	Restless Owl	creature	0	0.156	1364	361	0.265	301	0.505
84	Fighter Tick	creature	2	2.442	1367	1035	0.757	628	0.478
85	Heartless Crow	creature	3	1.972	1446	894	0.618	560	0.507
86	Crazed Nose-pincher	creature	3	-0.184	1439	284	0.197	245	0.522
87	Bloat Demon	creature	4	1.79	1471	860	0.585	558	0.498
88	Abyss Nightmare	creature	5	1.692	1366	755	0.553	509	0.477
89	Boombeak	creature	5	-0.712	1222	168	0.137	158	0.468
90	Eldritch Swooper	creature	8	-0.204	1232	236	0.192	207	0.522
91	Flumpy	creature	0	-0.592	1397	200	0.143	177	0.48
92	Wurm	creature	1	-3.754	1265	5	0.004	5	0.4
93	Spinekid	creature	1	0.033	1201	286	0.238	234	0.504
94	Rootkin Defender	creature	2	-0.639	1270	205	0.161	186	0.495
95	Wildum	creature	2	1.735	1260	759	0.602	510	0.529
96	Prairie Protector	creature	2	1.503	1230	638	0.519	445	0.497
97	Turta	creature	3	0.703	1607	566	0.352	435	0.503
98	Lilly Hopper	creature	3	-0.148	1274	262	0.206	231	0.498
99	Cave Crab	creature	3	1.884	1368	833	0.609	547	0.506
100	Stalagopod	creature	3	-0.61	1286	223	0.173	186	0.484
101	Engulfer	creature	4	-1.206	1356	122	0.09	106	0.5
102	Mole Demon	creature	4	-2.284	1318	44	0.033	42	0.5
103	Mutating Rootkin	creature	4	2.239	1365	997	0.73	619	0.498
104	Deepwater Shellcrab	creature	4	0.663	1421	490	0.345	373	0.501
105	King Shellcrab	creature	5	1.287	1201	574	0.478	430	0.498
106	Far-reaching Nightmare	creature	5	1.183	1322	576	0.436	417	0.53
107	Worker Shellcrab	creature	5	-2.522	1299	30	0.023	26	0.423
108	Rootkin Elder	creature	5	-1.989	1260	72	0.057	65	0.415
109	Elder Engulfer	creature	5	1.657	1201	687	0.572	492	0.514
110	Gargoyle	creature	5	-4.609	1352	0	0.0	0	
111	Turta Knight	creature	6	1.331	1503	735	0.489	500	0.506
112	Rootkin Leader	creature	6	0.27	1564	460	0.294	363	0.493
113	Tamed Bilespitter	creature	6	-3.404	1371	9	0.007	9	0.556
114	Gargantua	creature	7	1.363	1258	659	0.524	473	0.493
115	Rootkin Warchief	creature	8	1.596	1246	645	0.518	435	0.515
116	Emperor Nightmare	creature	12	2.877	1266	1123	0.887	610	0.502
117	Protein	itemGreen	1	-2.96	1492	29	0.019	29	0.517
118	Royal Helm	itemGreen	0	-0.602	1325	181	0.137	159	0.56
119	Serrated Shield	itemGreen	1	-0.886	1265	143	0.113	119	0.538
120	Venomfruit	itemGreen	2	-0.739	1491	195	0.131	157	0.478
121	Enchanted Hat	itemGreen	2	1.502	1305	655	0.502	461	0.518
122	Bolstering Bread	itemGreen	2	-0.246	1208	243	0.201	214	0.509
123	Wristguards	itemGreen	2	-1.834	1459	78	0.053	78	0.513
124	Blood Grapes	itemGreen	3	-2.908	1335	18	0.013	18	0.222
125	Healthy Veggies	itemGreen	3	-1.522	1255	86	0.069	78	0.397
126	Heavy Shield	itemGreen	3	-0.118	1522	326	0.214	286	0.507
127	Imperial Helm	itemGreen	3	-1.188	1409	121	0.086	105	0.467
128	Enchanted Cloth	itemGreen	4	0.912	1196	452	0.378	340	0.526
129	Enchanted Leather	itemGreen	4	0.972	1268	523	0.412	398	0.51
130	Helm of Remedy	itemGreen	4	-2.059	1123	44	0.039	44	0.477
131	Heavy Gauntlet	itemGreen	4	-2.432	1274	45	0.035	45	0.533
132	High Protein	itemGreen	5	-2.076	1454	49	0.034	49	0.429
133	Pie of Power	itemGreen	5	1.623	1269	670	0.528	490	0.51
134	Light The Way	itemGreen	4	0.333	1435	418	0.291	326	0.488
135	Imperial Armour	itemGreen	6	0.753	1334	481	0.361	367	0.515
136	Buckler	itemGreen	0	-1.813	1486	77	0.052	71	0.549
137	Ward	itemGreen	2	-0.736	1399	183	0.131	163	0.472
138	Grow Horns	itemGreen	2	-3.501	1332	8	0.006	8	0.375
139	Grow Stingers	itemGreen	4	2.767	1331	1125	0.845	625	0.52
140	Grow Wings	itemGreen	2	-3.413	1428	12	0.008	12	0.5
141	Throwing Knife	itemRed	0	0.871	1300	541	0.416	391	0.501
142	Staff of Suppression	itemRed	0	-2.147	1233	56	0.045	52	0.462
143	Pierce Armour	itemRed	0	-4.184	1429	4	0.003	4	0.25
144	Rune Axe	itemRed	1	1.201	1265	580	0.458	419	0.532
145	Cursed Sword	itemRed	3	0.63	1517	530	0.349	397	0.484
146	Cursed Scimitar	itemRed	4	-1.43	1384	92	0.066	85	0.447
147	Quick Shot	itemRed	2	1.925	1367	865	0.633	514	0.504
148	Helm Crusher	itemRed	2	1.773	1243	712	0.573	461	0.462
149	Rootkin Ritual	itemRed	3	-0.869	1252	158	0.126	141	0.411
150	Throwing Axe	itemRed	2	1.512	1356	718	0.529	522	0.487
151	Decimate	itemRed	5	2.982	1383	1259	0.91	653	0.507
152	Mighty Throwing Axe	itemRed	7	1.59	1352	712	0.527	484	0.512
153	Healing Potion	itemBlue	2	-5.242	1318	0	0.0	0	
154	Poison	itemBlue	2	-4.884	1226	0	0.0	0	
155	Scroll of Firebolt	itemBlue	3	0.347	1461	396	0.271	310	0.497
156	Major Life Steal Potion	itemBlue	3	-4.051	1242	3	0.002	3	0.667
157	Life Sap Drop	itemBlue	3	0.756	1410	534	0.379	394	0.472
158	Tome of Thunder	itemBlue	3	1.83	1296	764	0.59	473	0.501
159	Vial of Soul Drain	itemBlue	4	-1.137	1300	128	0.098	114	0.491
160	Minor Life Steal Potion	itemBlue	2	-4.751	1317	0	0.0	0	
